id,name,date,latitude,longitude,nodes,links,mutualism,parasitism,predation,bc1,bc2,bc3,bc4,bc5,bc6,bc7,bc8,bc9,bc10,bc11,bc12,bc13,bc14,bc15,bc16,bc17,bc18,bc19,pc1,pc2,pc3,pc4,D
4396,kolpelke_2007_470,1982-08-29T00:00:00.0,47.1,11.65,23,22,0,22,0,1.3820208311080933,6.901416778564453,29.890819549560547,612.79833984375,13.881750106811523,-9.206999778747559,23.088748931884766,8.924666404724121,-5.742583274841309,8.924666404724121,-5.742583274841309,1161.0,146.0,59.0,29.656694412231445,416.0,193.0,416.0,193.0,0.819492927240359,-1.7230605796280334,0.0984399071246414,-0.8783550863912251,4.797608481308842
4397,kolpelke_2007_472,1982-09-01T00:00:00.0,47.1,11.65,13,16,0,16,0,1.3820208311080933,6.901416778564453,29.890819549560547,612.79833984375,13.881750106811523,-9.206999778747559,23.088748931884766,8.924666404724121,-5.742583274841309,8.924666404724121,-5.742583274841309,1161.0,146.0,59.0,29.656694412231445,416.0,193.0,416.0,193.0,0.819492927240359,-1.7230605796280334,0.0984399071246414,-0.8783550863912251,4.797608481308842
4398,kolpelke_2007_488,1983-07-04T00:00:00.0,47.1,11.65,4,3,0,3,0,1.3820208311080933,6.901416778564453,29.890819549560547,612.79833984375,13.881750106811523,-9.206999778747559,23.088748931884766,8.924666404724121,-5.742583274841309,8.924666404724121,-5.742583274841309,1161.0,146.0,59.0,29.656694412231445,416.0,193.0,416.0,193.0,0.819492927240359,-1.7230605796280334,0.0984399071246414,-0.8783550863912251,4.797608481308842
4399,kolpelke_2007_496,1983-08-22T00:00:00.0,47.1,11.65,18,27,0,27,0,1.3820208311080933,6.901416778564453,29.890819549560547,612.79833984375,13.881750106811523,-9.206999778747559,23.088748931884766,8.924666404724121,-5.742583274841309,8.924666404724121,-5.742583274841309,1161.0,146.0,59.0,29.656694412231445,416.0,193.0,416.0,193.0,0.819492927240359,-1.7230605796280334,0.0984399071246414,-0.8783550863912251,4.797608481308842
4400,kolpelke_2007_497,1983-08-23T00:00:00.0,47.1,11.65,17,19,0,19,0,1.3820208311080933,6.901416778564453,29.890819549560547,612.79833984375,13.881750106811523,-9.206999778747559,23.088748931884766,8.924666404724121,-5.742583274841309,8.924666404724121,-5.742583274841309,1161.0,146.0,59.0,29.656694412231445,416.0,193.0,416.0,193.0,0.819492927240359,-1.7230605796280334,0.0984399071246414,-0.8783550863912251,4.797608481308842
4401,kolpelke_2007_2,1987-07-22T00:00:00.0,47.1,11.65,21,26,0,26,0,1.3820208311080933,6.901416778564453,29.890819549560547,612.79833984375,13.881750106811523,-9.206999778747559,23.088748931884766,8.924666404724121,-5.742583274841309,8.924666404724121,-5.742583274841309,1161.0,146.0,59.0,29.656694412231445,416.0,193.0,416.0,193.0,0.819492927240359,-1.7230605796280334,0.0984399071246414,-0.8783550863912251,4.797608481308842
4402,kolpelke_2007_82,1989-06-30T00:00:00.0,47.1,11.65,3,2,0,2,0,1.3820208311080933,6.901416778564453,29.890819549560547,612.79833984375,13.881750106811523,-9.206999778747559,23.088748931884766,8.924666404724121,-5.742583274841309,8.924666404724121,-5.742583274841309,1161.0,146.0,59.0,29.656694412231445,416.0,193.0,416.0,193.0,0.819492927240359,-1.7230605796280334,0.0984399071246414,-0.8783550863912251,4.797608481308842
4403,kolpelke_2007_91,1989-08-13T00:00:00.0,47.1,11.65,11,13,0,13,0,1.3820208311080933,6.901416778564453,29.890819549560547,612.79833984375,13.881750106811523,-9.206999778747559,23.088748931884766,8.924666404724121,-5.742583274841309,8.924666404724121,-5.742583274841309,1161.0,146.0,59.0,29.656694412231445,416.0,193.0,416.0,193.0,0.819492927240359,-1.7230605796280334,0.0984399071246414,-0.8783550863912251,4.797608481308842
4404,kolpelke_2007_22,1991-08-29T00:00:00.0,47.1,11.65,16,19,0,19,0,1.3820208311080933,6.901416778564453,29.890819549560547,612.79833984375,13.881750106811523,-9.206999778747559,23.088748931884766,8.924666404724121,-5.742583274841309,8.924666404724121,-5.742583274841309,1161.0,146.0,59.0,29.656694412231445,416.0,193.0,416.0,193.0,0.819492927240359,-1.7230605796280334,0.0984399071246414,-0.8783550863912251,4.797608481308842
4405,kolpelke_2007_464,1982-08-04T00:00:00.0,47.1,11.666667,6,5,0,5,0,1.3607499599456787,6.747125148773193,29.19095802307129,615.9678955078125,13.839750289916992,-9.27400016784668,23.113750457763672,8.934791564941406,-5.846291542053223,8.934791564941406,-5.846291542053223,1200.0,153.0,62.0,30.054920196533203,433.0,201.0,433.0,201.0,0.7136763800280236,-1.880580323670952,0.1991177810597516,-0.9071254156096676,4.973396698635735
